address,formatted_address,latitude,longitude,status,types
"MISSION ST AND PLUM ST, San Francisco, CA","Mission St & Plum St, San Francisco, CA 94103, USA",37.77101,-122.4196634,OK,['intersection']
"MISSION ST AND THE EMBARCADERO, San Francisco, CA","Mission St & The Embarcadero, San Francisco, CA 94105, USA",37.7938433,-122.3924419,OK,['intersection']
"MISSION ST AND 19TH ST, San Francisco, CA","Mission St & 19th St, San Francisco, CA 94110, USA",37.7602395,-122.4192312,OK,['intersection']
"MISSION ST AND APPLETON AVE, San Francisco, CA","Mission St & Appleton Ave, San Francisco, CA 94110, USA",37.7388435,-122.4239791,OK,['intersection']
"MISSION ST AND OCEAN AVE, San Francisco, CA","Mission St & Ocean Ave, San Francisco, CA 94112, USA",37.723902,-122.4354022,OK,['intersection']
"MISSION ST AND GODEUS ST, San Francisco, CA","Mission St & Godeus St, San Francisco, CA 94110, USA",37.7428312,-122.4216954,OK,['intersection']
"MISSION ST AND POPE ST, San Francisco, CA","Mission St & Pope St, San Francisco, CA 94112, USA",37.7154464,-122.4418336,OK,['intersection']
"MISSION ST AND FARRAGUT AVE, San Francisco, CA","Mission St & Farragut Ave, San Francisco, CA 94112, USA",37.709959,-122.449354,OK,['intersection']
"MISSION ST AND 11TH ST, San Francisco, CA","Mission St & 11th St, San Francisco, CA 94103, USA",37.7743325,-122.4171372,OK,['intersection']
"MISSION ST AND EUGENIA AVE, San Francisco, CA","Mission St & Eugenia Ave, San Francisco, CA 94110, USA",37.7422074,-122.4220972,OK,['intersection']
"MISSION ST AND 4TH ST, San Francisco, CA","Mission St & 4th St, San Francisco, CA 94103, USA",37.784464,-122.4042271,OK,['intersection']
"MISSION ST AND FRANCE AVE, San Francisco, CA","Mission St & France Ave, San Francisco, CA 94112, USA",37.7200367,-122.4383505,OK,['intersection']
"MISSION ST AND LASKIE ST, San Francisco, CA","Mission St & Laskie St, San Francisco, CA 94103, USA",37.7767134,-122.4141239,OK,['intersection']
"MISSION ST AND 29TH ST, San Francisco, CA","Mission St & 29th St, San Francisco, CA 94110, USA",37.744038,-122.4209151,OK,['intersection']
"MISSION ST AND RUSSIA AVE, San Francisco, CA","Mission St & Russia Ave, San Francisco, CA 94112, USA",37.7215808,-122.4371766,OK,['intersection']
"MISSION ST AND ONONDAGA AVE, San Francisco, CA","Mission St & Onondaga Ave, San Francisco, CA 94112, USA",37.7211696,-122.437489,OK,['intersection']
"MISSION ST AND ANNIE ST, San Francisco, CA","Mission St & Annie St, San Francisco, CA 94105, USA",37.7868392,-122.4012785,OK,['intersection']
"MISSION ST AND 21ST ST, San Francisco, CA","Mission St & 21st St, San Francisco, CA 94110, USA",37.7570409,-122.4189268,OK,['intersection']
"MISSION ST AND CLARION ALY, San Francisco, CA","Mission St & Clarion Alley, San Francisco, CA 94110, USA",37.7630637,-122.4195044,OK,['intersection']
